usaf,wban,datetime,latitude,longitude,elevation,windAngle,windSpeed,temperature,seaLvlPressure,cloudCoverage,presentWeatherIndicator,pastWeatherIndicator,precipTime,precipDepth,snowDepth,stationName,countryOrRegion,p_k,year,day,version
717510,99999,2019-09-28,48.367,-89.117,211.0,320.0,6.2,23.9,1016.3,,,,24.0,2.0,,WELCOME ISLAND (AUT),CA,717510-99999,2019,6,1.0
866520,99999,2019-09-28,-12.125,-45.027,474.0,277.0,1.9,23.5,1014.9,,,,99.0,9999.0,,BARREIRAS,BR,866520-99999,2019,6,1.0
713070,99999,2019-09-28,42.45,-81.883,206.0,200.0,3.1,27.2,1014.9,,,,24.0,29.0,,RIDGETOWN RCS  ONT,CA,713070-99999,2019,6,1.0
426470,99999,2019-09-28,23.067,72.633,55.0,250.0,1.5,27.8,997.1,,5.0,0.0,21.0,120.0,,AHMEDABAD,IN,426470-99999,2019,6,1.0
262580,99999,2019-09-28,57.784,28.396,47.0,190.0,5.0,10.0,,,,,,,,PSKOV,RS,262580-99999,2019,6,1.0
716790,99999,2019-09-28,53.77,-126.0,861.0,30.0,3.6,18.8,1021.7,,,,,,,OOTSA LAKESKINS LAKE,CA,716790-99999,2019,6,1.0
725070,14765,2019-09-28,41.733,-71.433,19.0,210.0,4.1,23.9,1019.1,FEW,,,,,,THEODORE F GREEN STATE AIRPORT,US,725070-14765,2019,6,1.0
488260,99999,2019-09-28,20.8,106.633,116.0,160.0,1.0,29.4,1001.7,BKN,,,,,,PHU LIEN,VM,488260-99999,2019,6,1.0
010520,99999,2019-09-28,70.683,23.683,79.0,320.0,4.0,6.9,1006.8,,,,6.0,0.0,,HAMMERFEST AP,NO,010520-99999,2019,6,1.0
999999,03048,2019-09-28,34.356,-106.886,1477.0,,1.9,34.1,,,,,1.0,0.0,,SOCORRO 20 N,US,999999-03048,2019,6,1.0
080270,99999,2019-09-28,43.306,-2.041,251.0,290.0,4.6,19.0,1016.3,,45.0,4.0,6.0,9999.0,,SAN SEBASTIAN/IGUELDO,SP,080270-99999,2019,6,1.0
246060,99999,2019-09-28,63.583,103.967,211.0,140.0,3.0,11.6,1000.4,OVC,95.0,9.0,12.0,6.0,,KISLOKAN,RS,246060-99999,2019,6,1.0
717510,99999,2019-09-28,48.367,-89.117,211.0,320.0,6.2,23.9,1016.3,,,,,,,WELCOME ISLAND (AUT),CA,717510-99999,2019,6,1.0
715720,99999,2019-09-28,56.03,-96.52,183.0,300.0,3.6,21.7,1021.3,,,,,,,KELSEY DAM CS  MAN,CA,715720-99999,2019,6,1.0
715380,99999,2019-09-28,42.276,-82.956,190.0,200.0,2.1,30.0,1014.5,FEW,,,,,,WINDSOR,CA,715380-99999,2019,6,1.0
262580,99999,2019-09-28,57.817,28.333,45.0,200.0,1.0,9.3,993.1,OVC,80.0,8.0,,,,PSKOV,RS,262580-99999,2019,6,1.0
716790,99999,2019-09-28,53.77,-125.98,861.0,30.0,3.6,18.8,1021.7,,,,24.0,9.0,,OOTSA LAKESKINS LAKE,CA,716790-99999,2019,6,1.0
163340,99999,2019-09-28,40.1,18.483,80.0,320.0,3.6,23.4,1013.5,,,,,,,OTRANTO,IT,163340-99999,2019,6,1.0
984460,99999,2019-09-28,13.6,124.217,40.0,210.0,1.0,29.5,1009.5,BKN,5.0,4.0,,,,VIRAC,RP,984460-99999,2019,6,1.0
134570,99999,2019-09-28,42.405,18.723,6.0,,0.5,20.0,,,,,,,,TIVAT,MJ,134570-99999,2019,6,1.0
998439,99999,2019-09-28,30.308,-88.14,4.0,240.0,5.1,31.6,1016.9,,,,,,,CEDAR POINT,US,998439-99999,2019,6,1.0
715380,99999,2019-09-28,42.267,-82.967,190.0,190.0,3.1,30.2,1014.6,FEW,,,24.0,0.0,,WINDSOR,CA,715380-99999,2019,6,1.0
716280,99999,2019-09-28,45.317,-75.667,114.0,140.0,2.1,24.3,1012.9,SCT,29.0,8.0,24.0,148.0,,OTTAWA MACDONALD CARTIER INTL,CA,716280-99999,2019,6,1.0
714010,99999,2019-09-28,49.12,-117.73,567.0,330.0,4.1,23.3,1016.5,,,,,,,WARFIELD RCS,CA,714010-99999,2019,6,1.0
