usaf,wban,datetime,latitude,longitude,elevation,windAngle,windSpeed,temperature,seaLvlPressure,cloudCoverage,presentWeatherIndicator,pastWeatherIndicator,precipTime,precipDepth,snowDepth,stationName,countryOrRegion,p_k,year,day,version
842030,99999,2019-10-05,-2.15,-79.883,5.0,200.0,4.1,26.6,1008.4,BKN,5.0,4.0,,,,SIMON BOLIVAR INTL,EC,842030-99999,2019,13,1.0
712730,99999,2019-10-05,54.017,-109.133,546.0,260.0,4.1,24.3,1009.4,,,,,,,LOON LAKE,CA,712730-99999,2019,13,1.0
716700,99999,2019-10-05,46.77,-65.0,34.0,150.0,3.1,15.7,1008.8,,,,24.0,9999.0,,KOUCHIBOUGUAC CS,CA,716700-99999,2019,13,1.0
934360,00488,2019-10-05,-41.327,174.805,12.0,340.0,8.2,15.0,,CLR,,,,,,WELLINGTON INTL,NZ,934360-00488,2019,13,1.0
713780,99999,2019-10-05,47.42,-72.78,169.0,310.0,1.5,20.8,1007.2,,,,,,,LA TUQUE  QUE,CA,713780-99999,2019,13,1.0
237410,99999,2019-10-05,62.167,71.1,86.0,350.0,2.0,17.7,1016.9,OVC,,,,,,NIZHNESORTYMSK,RS,237410-99999,2019,13,1.0
653765,99999,2019-10-05,10.867,0.25,330.0,320.0,1.0,24.5,,BKN,,,,,,DAPANGO,TO,653765-99999,2019,13,1.0
998252,99999,2019-10-05,44.4,-68.2,3.0,0.0,0.0,14.5,1006.6,,,,,,,BAR HARBOR,US,998252-99999,2019,13,1.0
916830,99999,2019-10-05,-18.043,178.559,5.0,130.0,5.7,27.0,,,,,,,,NAUSORI INTL,FJ,916830-99999,2019,13,1.0
916830,99999,2019-10-05,-18.05,178.567,7.0,130.0,5.7,26.5,1016.0,BKN,2.0,2.0,24.0,25.0,,NAUSORI INTL,FJ,916830-99999,2019,13,1.0
036580,99999,2019-10-05,51.62,-1.097,57.0,350.0,1.5,14.0,1020.7,,,,6.0,9999.0,,BENSON,UK,036580-99999,2019,13,1.0
713780,99999,2019-10-05,47.4,-72.783,169.0,310.0,1.5,20.8,1007.2,,,,24.0,60.0,,LA TUQUE  QUE,CA,713780-99999,2019,13,1.0
716700,99999,2019-10-05,46.77,-65.0,34.0,150.0,3.1,15.7,1008.8,,,,,,,KOUCHIBOUGUAC CS,CA,716700-99999,2019,13,1.0
063150,99999,2019-10-05,51.446,3.998,0.0,313.0,5.0,,,,,,,,,HANSWEERT,NL,063150-99999,2019,13,1.0
367770,99999,2019-10-05,45.333,78.017,443.0,40.0,2.0,18.8,1002.4,FEW,,,,,,KARATAL E,KZ,367770-99999,2019,13,1.0
421030,99999,2019-10-05,30.383,76.767,272.0,0.0,0.0,24.2,998.6,OVC,29.0,9.0,21.0,110.0,,AMBALA,IN,421030-99999,2019,13,1.0
627210,99999,2019-10-05,15.589,32.553,386.0,200.0,5.1,28.0,,,,,,,,KHARTOUM,SU,627210-99999,2019,13,1.0
718690,99999,2019-10-05,53.217,-105.667,428.0,230.0,5.7,24.9,1011.1,BKN,,,24.0,0.0,,PRINCE ALBERT GLASS FIELD,CA,718690-99999,2019,13,1.0
119780,99999,2019-10-05,48.667,21.733,106.0,,1.0,12.5,1011.5,,,,6.0,0.0,,MILHOSTOV,LO,119780-99999,2019,13,1.0
411760,99999,2019-10-05,24.95,51.567,5.0,300.0,2.1,28.2,996.2,,,,,,,UMM SAID,QA,411760-99999,2019,13,1.0
336580,99999,2019-10-05,48.367,25.9,246.0,,,13.2,1011.4,FEW,,,,,,CHERNIVTSI,UP,336580-99999,2019,13,1.0
723710,03162,2019-10-05,36.933,-111.45,1304.0,,2.1,37.8,1006.6,,,,,,,PAGE MUNICIPAL AIRPORT,US,723710-03162,2019,13,1.0
082270,99999,2019-10-05,40.497,-3.446,618.0,20.0,2.1,26.0,,,,,,,,TORREJON,SP,082270-99999,2019,13,1.0
543460,99999,2019-10-05,41.317,123.783,185.0,70.0,1.0,21.9,1002.7,BKN,,,24.0,0.0,,BENXI,CH,543460-99999,2019,13,1.0
479810,99999,2019-10-05,24.784,141.323,115.0,100.0,3.1,29.0,,,,,,,,IWOTO,JA,479810-99999,2019,13,1.0
027890,99999,2019-10-05,63.383,28.667,166.0,30.0,2.0,7.4,1008.0,BKN,,,,,,RAUTAVAARA YLA-LUOSTA,FI,027890-99999,2019,13,1.0
036040,99999,2019-10-05,51.708,-5.052,44.0,330.0,2.6,15.5,1023.4,,,,6.0,9999.0,,MILFORD HAVEN CONSERVANCY BOARD,UK,036040-99999,2019,13,1.0
966070,99999,2019-10-05,-0.617,117.15,230.0,220.0,3.1,25.6,1014.0,BKN,,,24.0,10.0,,TEMINDUNG,ID,966070-99999,2019,13,1.0
685770,99999,2019-10-05,-30.5,29.4,1443.0,340.0,2.1,4.4,,,,,,,,KOKSTAD,SF,685770-99999,2019,13,1.0
994680,99999,2019-10-05,60.84,-146.88,0.0,300.0,1.5,13.8,1015.4,,,,,,,BLIGH REEF LIGHT,US,994680-99999,2019,13,1.0
024930,99999,2019-10-05,59.75,19.417,15.0,320.0,2.0,11.4,,OVC,,,,,,SODERARM,SW,024930-99999,2019,13,1.0
999999,53974,2019-10-05,39.103,-96.61,347.0,,2.3,29.3,,,,,1.0,0.0,,MANHATTAN 6 SSW,US,999999-53974,2019,13,1.0
714190,99999,2019-10-05,45.35,-60.98,8.0,140.0,6.7,14.3,1014.4,,,,,,,HART ISLAND (AUT)  NS,CA,714190-99999,2019,13,1.0
037700,99999,2019-10-05,51.504,-0.129,5.0,,,18.5,,,,,6.0,9999.0,,ST JAMES PARK,UK,037700-99999,2019,13,1.0
353570,99999,2019-10-05,49.683,69.517,349.0,50.0,1.0,16.0,1010.3,,,,,,,BARSHINO,KZ,353570-99999,2019,13,1.0
424830,99999,2019-10-05,25.3,83.017,90.0,50.0,1.0,28.0,1001.4,OVC,5.0,2.0,,,,VARANASI,IN,424830-99999,2019,13,1.0
118580,99999,2019-10-05,47.873,18.194,115.0,0.0,0.0,14.5,1011.7,,,,6.0,50.0,,HURBANOVO,LO,118580-99999,2019,13,1.0
712400,99999,2019-10-05,51.667,-110.2,707.0,0.0,0.0,25.5,1012.5,,,,24.0,13.0,,ESTHER 1  ALTA,CA,712400-99999,2019,13,1.0
895920,99999,2019-10-05,-66.55,93.017,35.0,170.0,5.1,-17.8,992.0,OVC,36.0,3.0,,,24.0,MIRNYJ,AY,895920-99999,2019,13,1.0
431210,99999,2019-10-05,17.35,76.85,458.0,250.0,1.5,24.0,1007.6,SCT,5.0,2.0,21.0,60.0,,GULBARGA,IN,431210-99999,2019,13,1.0
418590,99999,2019-10-05,25.733,89.233,34.0,0.0,0.0,26.8,1001.5,OVC,,,24.0,90.0,,RANGPUR,BG,418590-99999,2019,13,1.0
715860,99999,2019-10-05,55.15,-105.27,379.0,180.0,3.1,17.0,1008.4,,,,,,,LA RONGE RCS  SASK,CA,715860-99999,2019,13,1.0
875340,99999,2019-10-05,-34.133,-63.367,136.0,0.0,0.0,9.7,1018.6,FEW,,,,,,LABOULAYE,AR,875340-99999,2019,13,1.0
712400,99999,2019-10-05,51.67,-110.2,707.0,,,25.5,1012.5,,,,,,,ESTHER 1  ALTA,CA,712400-99999,2019,13,1.0
765770,99999,2019-10-05,21.0,-101.283,1999.0,,,27.0,1001.9,SCT,,,24.0,0.0,,GUANAJUATO  GTO.,MX,765770-99999,2019,13,1.0
014080,99999,2019-10-05,59.333,5.183,24.0,350.0,4.0,12.7,1013.7,,,,,,,KARMOY,NO,014080-99999,2019,13,1.0
